Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,201382,-,-,-,33.93,-118.42,-8,12,-8,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,Dew Point,DHI,DNI,GHI,Surface Albedo,Pressure,Temperature,Wind Direction,Wind Speed
1999,1,1,0,30,6,0,0,0,0.16,1011,10.4,33,2.9000000000000004
1999,1,1,1,30,5.4,0,0,0,0.16,1012,10.100000000000001,33,3
1999,1,1,2,30,4.6000000000000005,0,0,0,0.16,1012,10,35,3.3000000000000003
1999,1,1,3,30,3.9000000000000004,0,0,0,0.16,1013,9.8,39,3.7
1999,1,1,4,30,3.1,0,0,0,0.16,1014,9.8,44,4
1999,1,1,5,30,2.1,0,0,0,0.16,1015,9.8,49,4.3
1999,1,1,6,30,1.3,0,0,0,0.16,1015,10.100000000000001,51,4.5
1999,1,1,7,30,1.1,25,465,65,0.16,1016,11.4,51,4.5
1999,1,1,8,30,1.1,48,765,243,0.16,1016,13.8,53,4.4
1999,1,1,9,30,1,59,883,407,0.16,1016,16.400000000000002,55,3.8000000000000003
1999,1,1,10,30,1.6,67,927,523,0.16,1016,18.5,55,2.9000000000000004
1999,1,1,11,30,1,69,951,584,0.16,1015,20,51,1.9000000000000001
1999,1,1,12,30,1,69,951,581,0.16,1014,20.8,36,1.3
1999,1,1,13,30,1.4000000000000001,68,920,514,0.16,1014,21.1,188,1.1
1999,1,1,14,30,2,61,858,390,0.16,1014,20.400000000000002,329,1.3
1999,1,1,15,30,5,48,727,223,0.16,1014,19.8,308,1.5
1999,1,1,16,30,6.1000000000000005,22,382,49,0.15,1014,15.700000000000001,321,2
1999,1,1,17,30,5.7,0,0,0,0.15,1014,14.4,338,2.1
1999,1,1,18,30,5.4,0,0,0,0.15,1015,13.8,175,2.2
1999,1,1,19,30,4.800000000000001,0,0,0,0.15,1015,13.4,11,2.2
1999,1,1,20,30,4,0,0,0,0.15,1015,13,25,2.3000000000000003
1999,1,1,21,30,2.9000000000000004,0,0,0,0.15,1015,12.8,35,2.7
1999,1,1,22,30,1.9000000000000001,0,0,0,0.15,1015,12.600000000000001,42,3
1999,1,1,23,30,0.9,0,0,0,0.15,1015,12.4,46,3.3000000000000003
1999,1,2,0,30,0.1,0,0,0,0.15,1015,12.4,48,3.5
1999,1,2,1,30,-0.2,0,0,0,0.15,1015,12.3,49,3.6
1999,1,2,2,30,-0.30000000000000004,0,0,0,0.15,1014,12.3,50,3.8000000000000003
1999,1,2,3,30,-0.4,0,0,0,0.15,1014,12.3,50,4
1999,1,2,4,30,-0.6000000000000001,0,0,0,0.15,1014,12.3,50,4.5
1999,1,2,5,30,-0.6000000000000001,0,0,0,0.15,1014,12.3,49,4.9
1999,1,2,6,30,-0.7000000000000001,0,0,0,0.15,1014,12.3,49,5.4
1999,1,2,7,30,-0.9,26,475,66,0.15,1015,13.4,49,5.6000000000000005
1999,1,2,8,30,-0.9,48,775,246,0.15,1015,15.5,49,5.300000000000001
1999,1,2,9,30,-0.1,60,894,412,0.15,1015,18.1,54,4.5
1999,1,2,10,30,0.8,66,950,534,0.15,1015,20.3,63,3.6
1999,1,2,11,30,0.5,69,972,596,0.15,1014,21.900000000000002,71,2.6
1999,1,2,12,30,-0.8,69,970,593,0.15,1013,22.6,79,1.7000000000000002
1999,1,2,13,30,-0.4,66,945,526,0.15,1012,22.5,96,0.9
1999,1,2,14,30,0.1,60,874,397,0.15,1012,21.6,183,0.8
1999,1,2,15,30,4.1000000000000005,49,743,229,0.15,1012,20.8,258,1.1
1999,1,2,16,30,5.1000000000000005,23,417,53,0.16,1012,17.1,322,1.3
1999,1,2,17,30,5.300000000000001,0,0,0,0.16,1012,15.4,180,1.3
1999,1,2,18,30,5.4,0,0,0,0.16,1013,14.600000000000001,22,1.3
1999,1,2,19,30,4.9,0,0,0,0.16,1013,14.100000000000001,34,1.4000000000000001
1999,1,2,20,30,3.8000000000000003,0,0,0,0.16,1013,13.9,42,1.5
1999,1,2,21,30,2.8000000000000003,0,0,0,0.16,1013,13.700000000000001,46,1.7000000000000002
1999,1,2,22,30,2.2,0,0,0,0.16,1014,13.600000000000001,50,2
1999,1,2,23,30,1.9000000000000001,0,0,0,0.16,1014,13.4,55,2.5
1999,1,3,0,30,1.6,0,0,0,0.16,1014,13.4,56,3.1
1999,1,3,1,30,1.2000000000000002,0,0,0,0.16,1014,13.600000000000001,54,4
1999,1,3,2,30,0.8,0,0,0,0.16,1014,13.600000000000001,51,4.9
1999,1,3,3,30,0.4,0,0,0,0.16,1014,13.5,49,5.7
1999,1,3,4,30,0.30000000000000004,0,0,0,0.16,1015,13.200000000000001,49,6.300000000000001
1999,1,3,5,30,0.4,0,0,0,0.16,1015,12.700000000000001,49,6.6000000000000005
1999,1,3,6,30,0.5,0,0,0,0.16,1016,12.600000000000001,50,6.6000000000000005
1999,1,3,7,30,0.6000000000000001,26,451,64,0.16,1017,13.600000000000001,50,6.4
1999,1,3,8,30,0.8,49,761,244,0.16,1018,15.700000000000001,51,5.9
1999,1,3,9,30,1.5,61,892,413,0.16,1018,18.1,55,5.4
1999,1,3,10,30,2,69,943,534,0.16,1018,19.900000000000002,58,4.7
1999,1,3,11,30,1.7000000000000002,73,966,597,0.16,1018,21.1,58,3.8000000000000003
1999,1,3,12,30,-0.30000000000000004,74,972,600,0.16,1017,22.1,58,2.8000000000000003
1999,1,3,13,30,-2.5,69,951,533,0.16,1017,22.3,57,2.1
1999,1,3,14,30,-2.1,64,886,407,0.16,1017,21.400000000000002,49,1.2000000000000002
1999,1,3,15,30,2.6,51,754,236,0.16,1017,20.6,42,0.8
1999,1,3,16,30,3.6,25,402,55,0.16,1018,16.7,179,1
1999,1,3,17,30,3.7,0,0,0,0.16,1018,15.3,8,1.3
1999,1,3,18,30,3.8000000000000003,0,0,0,0.16,1019,14.5,23,1.6
1999,1,3,19,30,3.4000000000000004,0,0,0,0.16,1019,13.9,37,1.9000000000000001
1999,1,3,20,30,2.8000000000000003,0,0,0,0.16,1019,13.5,46,2.3000000000000003
1999,1,3,21,30,2.1,0,0,0,0.16,1020,13.200000000000001,50,2.7
1999,1,3,22,30,1.5,0,0,0,0.16,1020,13,53,3
1999,1,3,23,30,1,0,0,0,0.16,1020,12.8,54,3.3000000000000003
1999,1,4,0,30,0.6000000000000001,0,0,0,0.16,1020,12.600000000000001,54,3.5
1999,1,4,1,30,0.2,0,0,0,0.16,1020,12.4,53,3.8000000000000003
1999,1,4,2,30,-0.1,0,0,0,0.16,1020,12.200000000000001,52,4.2
1999,1,4,3,30,-0.4,0,0,0,0.16,1020,12,52,4.6000000000000005
1999,1,4,4,30,-1.1,0,0,0,0.16,1020,11.700000000000001,51,5
1999,1,4,5,30,-1.4000000000000001,0,0,0,0.16,1020,11.200000000000001,52,5.300000000000001
1999,1,4,6,30,-1.4000000000000001,0,0,0,0.16,1021,11.200000000000001,51,5.4
1999,1,4,7,30,-1.3,27,454,65,0.16,1021,12.3,52,5.7
1999,1,4,8,30,-1,52,765,247,0.16,1022,14.600000000000001,53,5.4
1999,1,4,9,30,-0.30000000000000004,65,886,416,0.16,1022,17.400000000000002,60,4.5
1999,1,4,10,30,0.8,72,946,539,0.16,1021,19.700000000000003,71,3.2
1999,1,4,11,30,0.7000000000000001,76,967,602,0.16,1021,21.200000000000003,73,2
1999,1,4,12,30,-0.8,77,964,601,0.16,1020,22.1,61,1.2000000000000002
1999,1,4,13,30,-1.2000000000000002,72,944,535,0.16,1019,22.3,26,0.8
1999,1,4,14,30,-0.1,65,882,409,0.16,1019,21.5,139,0.7000000000000001
1999,1,4,15,30,4.2,52,751,238,0.16,1019,20.8,279,0.7000000000000001
1999,1,4,16,30,4.5,26,408,57,0.16,1019,17.2,314,1.2000000000000002
1999,1,4,17,30,4.3,0,0,0,0.16,1020,15.9,334,1.4000000000000001
1999,1,4,18,30,4.2,0,0,0,0.16,1020,15.100000000000001,175,1.6
1999,1,4,19,30,3.9000000000000004,0,0,0,0.16,1021,14.700000000000001,14,1.8
1999,1,4,20,30,3.3000000000000003,0,0,0,0.16,1021,14.5,31,2
1999,1,4,21,30,2.8000000000000003,0,0,0,0.16,1021,14.3,43,2.1
1999,1,4,22,30,2.4000000000000004,0,0,0,0.16,1020,14.3,51,2.3000000000000003
1999,1,4,23,30,2.1,0,0,0,0.16,1020,14.3,55,2.4000000000000004
1999,1,5,0,30,2.1,0,0,0,0.16,1020,14.200000000000001,56,2.4000000000000004
1999,1,5,1,30,2.3000000000000003,0,0,0,0.16,1019,14.100000000000001,53,2.3000000000000003
1999,1,5,2,30,2.3000000000000003,0,0,0,0.16,1019,13.8,47,2.3000000000000003
1999,1,5,3,30,2.1,0,0,0,0.16,1019,13.4,43,2.3000000000000003
1999,1,5,4,30,1.6,0,0,0,0.16,1019,13,42,2.4000000000000004
1999,1,5,5,30,1.2000000000000002,0,0,0,0.16,1019,12.700000000000001,43,2.5
1999,1,5,6,30,1,0,0,0,0.16,1019,13,44,2.7
1999,1,5,7,30,1,27,423,63,0.16,1019,14.700000000000001,47,3.2
1999,1,5,8,30,0.8,55,750,246,0.16,1019,16.900000000000002,49,3.6
1999,1,5,9,30,1,68,879,415,0.16,1019,19,52,3.1
1999,1,5,10,30,1,133,614,437,0.16,1019,21.3,63,2.1
1999,1,5,11,30,-1.6,74,964,600,0.16,1018,22.8,94,1.1
1999,1,5,12,30,-0.7000000000000001,148,628,490,0.16,1017,23.1,165,0.7000000000000001
1999,1,5,13,30,0,176,451,398,0.16,1017,22.8,224,1
1999,1,5,14,30,0.2,93,632,341,0.16,1017,21.700000000000003,244,1.4000000000000001
1999,1,5,15,30,4,81,373,175,0.16,1017,20.8,253,1.5
1999,1,5,16,30,4.9,28,150,40,0.15,1017,17.5,313,1.4000000000000001
1999,1,5,17,30,5.300000000000001,0,0,0,0.15,1017,16.1,172,1.4000000000000001
1999,1,5,18,30,5.4,0,0,0,0.15,1017,15.600000000000001,13,1.5
1999,1,5,19,30,4.9,0,0,0,0.15,1017,15.600000000000001,27,1.6
1999,1,5,20,30,4.1000000000000005,0,0,0,0.15,1017,15.700000000000001,37,1.7000000000000002
1999,1,5,21,30,3.3000000000000003,0,0,0,0.15,1017,15.8,45,1.8
1999,1,5,22,30,2.6,0,0,0,0.15,1017,15.8,52,1.8
1999,1,5,23,30,2,0,0,0,0.15,1017,15.8,57,1.8
1999,1,6,0,30,1.7000000000000002,0,0,0,0.15,1017,15.700000000000001,59,1.8
1999,1,6,1,30,1.3,0,0,0,0.15,1017,15.600000000000001,56,1.7000000000000002
1999,1,6,2,30,0.9,0,0,0,0.15,1016,15.5,51,1.7000000000000002
1999,1,6,3,30,0.4,0,0,0,0.15,1016,15.3,49,1.7000000000000002
1999,1,6,4,30,-0.30000000000000004,0,0,0,0.15,1016,15.200000000000001,51,1.7000000000000002
1999,1,6,5,30,-1,0,0,0,0.15,1016,15,56,1.6
1999,1,6,6,30,-1.3,0,0,0,0.15,1016,15.200000000000001,66,1.5
1999,1,6,7,30,-0.7000000000000001,27,417,62,0.15,1017,16.5,79,1.6
1999,1,6,8,30,0.7000000000000001,56,722,240,0.15,1017,18.5,95,1.7000000000000002
1999,1,6,9,30,0.9,72,846,407,0.15,1017,20.200000000000003,139,1.5
1999,1,6,10,30,2,69,945,537,0.15,1017,21.400000000000002,190,1.5
1999,1,6,11,30,2.5,73,965,602,0.15,1016,21.900000000000002,209,1.9000000000000001
1999,1,6,12,30,2.9000000000000004,74,955,597,0.15,1015,21.900000000000002,217,2.1
1999,1,6,13,30,3.3000000000000003,71,929,531,0.15,1015,21.6,223,2.2
1999,1,6,14,30,3.9000000000000004,66,864,407,0.15,1015,20.700000000000003,231,1.9000000000000001
1999,1,6,15,30,5.2,54,727,239,0.15,1015,20.1,235,1.7000000000000002
1999,1,6,16,30,7.4,27,417,61,0.16,1015,16.6,249,1.3
1999,1,6,17,30,7.4,0,0,0,0.16,1015,16,262,1.2000000000000002
1999,1,6,18,30,7.1000000000000005,0,0,0,0.16,1015,15.9,311,0.9
1999,1,6,19,30,6.800000000000001,0,0,0,0.16,1015,15.9,206,0.7000000000000001
1999,1,6,20,30,6.5,0,0,0,0.16,1015,15.5,71,0.7000000000000001
1999,1,6,21,30,6.5,0,0,0,0.16,1015,15.200000000000001,88,0.7000000000000001
1999,1,6,22,30,6.5,0,0,0,0.16,1015,15,98,0.8
1999,1,6,23,30,6.6000000000000005,0,0,0,0.16,1015,14.9,107,0.8
1999,1,7,0,30,6.7,0,0,0,0.16,1015,14.700000000000001,116,0.8
1999,1,7,1,30,6.7,0,0,0,0.16,1014,14.5,122,0.7000000000000001
1999,1,7,2,30,7,0,0,0,0.16,1014,14.3,123,0.6000000000000001
1999,1,7,3,30,7.2,0,0,0,0.16,1014,14,116,0.6000000000000001
1999,1,7,4,30,7.300000000000001,0,0,0,0.16,1014,13.600000000000001,92,0.8
1999,1,7,5,30,7,0,0,0,0.16,1014,13.100000000000001,78,1.2000000000000002
1999,1,7,6,30,6.800000000000001,0,0,0,0.16,1014,13,84,1.3
1999,1,7,7,30,6.800000000000001,27,368,58,0.16,1014,14.100000000000001,98,1.4000000000000001
1999,1,7,8,30,7.2,84,0,84,0.16,1015,15.9,132,1.2000000000000002
1999,1,7,9,30,7.9,73,802,392,0.16,1015,17.3,186,1
1999,1,7,10,30,8,84,861,512,0.16,1015,18.2,225,1.3
1999,1,7,11,30,7.800000000000001,89,885,575,0.16,1014,18.8,237,1.7000000000000002
1999,1,7,12,30,7.6000000000000005,90,883,574,0.16,1013,19.1,237,2.1
1999,1,7,13,30,7.300000000000001,87,852,510,0.16,1013,19,236,2.4000000000000004
1999,1,7,14,30,7.2,79,782,389,0.16,1013,18.400000000000002,235,2.4000000000000004
1999,1,7,15,30,7.300000000000001,62,643,226,0.16,1012,17.900000000000002,235,2.4000000000000004
1999,1,7,16,30,8.200000000000001,29,321,56,0.16,1013,14.4,236,1.7000000000000002
1999,1,7,17,30,8.5,0,0,0,0.16,1013,13.200000000000001,246,1.5
1999,1,7,18,30,9.200000000000001,0,0,0,0.16,1014,13.100000000000001,267,0.9
1999,1,7,19,30,9.3,0,0,0,0.16,1014,12.8,175,0.6000000000000001
1999,1,7,20,30,9.200000000000001,0,0,0,0.16,1014,12.3,75,0.9
1999,1,7,21,30,8.8,0,0,0,0.16,1013,11.9,86,1.2000000000000002
1999,1,7,22,30,8.3,0,0,0,0.16,1013,11.600000000000001,91,1.3
1999,1,7,23,30,7.800000000000001,0,0,0,0.16,1013,11.3,89,1.3
1999,1,8,0,30,7.4,0,0,0,0.16,1013,10.9,78,1.4000000000000001
1999,1,8,1,30,6.9,0,0,0,0.16,1013,10.4,62,1.6
1999,1,8,2,30,6.300000000000001,0,0,0,0.16,1013,9.9,51,1.9000000000000001
1999,1,8,3,30,5.7,0,0,0,0.16,1013,9.5,46,2.5
1999,1,8,4,30,4.9,0,0,0,0.16,1014,9.4,44,3.1
1999,1,8,5,30,4,0,0,0,0.16,1014,9.200000000000001,43,3.5
1999,1,8,6,30,3,0,0,0,0.16,1015,9.700000000000001,43,3.6
1999,1,8,7,30,2.3000000000000003,27,421,62,0.16,1015,11.5,39,4
1999,1,8,8,30,1.8,52,749,244,0.16,1016,14.4,39,5
1999,1,8,9,30,1.6,62,881,413,0.16,1017,17,44,5.9
1999,1,8,10,30,2,73,928,536,0.16,1017,18.8,46,5.9
1999,1,8,11,30,1.8,74,966,606,0.16,1016,19.8,46,5.6000000000000005
1999,1,8,12,30,1.3,74,967,607,0.16,1016,20.200000000000003,44,5.4
1999,1,8,13,30,1.1,80,918,538,0.16,1016,20.3,43,5.2
1999,1,8,14,30,1,70,865,415,0.16,1016,19.8,43,5.1000000000000005
1999,1,8,15,30,1.1,54,745,247,0.16,1016,19.5,43,4.9
1999,1,8,16,30,1.6,30,383,64,0.16,1017,16.400000000000002,44,3.7
1999,1,8,17,30,1.5,0,0,0,0.16,1017,15.100000000000001,43,3.7
1999,1,8,18,30,1.1,0,0,0,0.16,1018,14.4,42,4
1999,1,8,19,30,0.8,0,0,0,0.16,1018,13.8,42,4.1000000000000005
1999,1,8,20,30,0.5,0,0,0,0.16,1018,13.4,43,4.3
1999,1,8,21,30,0,0,0,0,0.16,1018,13.100000000000001,43,4.4
1999,1,8,22,30,-0.30000000000000004,0,0,0,0.16,1018,12.8,42,4.4
1999,1,8,23,30,-0.6000000000000001,0,0,0,0.16,1018,12.600000000000001,41,4.4
1999,1,9,0,30,-0.7000000000000001,0,0,0,0.16,1018,12.5,40,4.5
1999,1,9,1,30,-0.6000000000000001,0,0,0,0.16,1018,12.3,40,4.6000000000000005
1999,1,9,2,30,-0.4,0,0,0,0.16,1018,12.100000000000001,41,4.6000000000000005
1999,1,9,3,30,-0.4,0,0,0,0.16,1018,12,43,4.7
1999,1,9,4,30,-0.5,0,0,0,0.16,1018,11.9,45,4.7
1999,1,9,5,30,-0.6000000000000001,0,0,0,0.16,1019,11.700000000000001,48,4.7
1999,1,9,6,30,-0.6000000000000001,0,0,0,0.16,1019,11.9,50,4.800000000000001
1999,1,9,7,30,-0.5,25,487,66,0.16,1020,13.200000000000001,51,5
1999,1,9,8,30,-0.4,47,776,247,0.16,1020,15.5,51,4.800000000000001
1999,1,9,9,30,0.1,58,895,415,0.16,1020,18.2,54,4
1999,1,9,10,30,1.3,64,951,540,0.16,1020,20.5,61,2.9000000000000004
1999,1,9,11,30,-0.5,68,973,606,0.16,1019,22,62,1.7000000000000002
1999,1,9,12,30,-1,143,653,504,0.16,1018,22.5,34,1
1999,1,9,13,30,0.4,68,944,542,0.16,1017,22.200000000000003,173,0.9
1999,1,9,14,30,1.1,109,579,342,0.16,1016,21.200000000000003,317,0.9
1999,1,9,15,30,3.4000000000000004,52,753,249,0.16,1016,20.5,297,0.9
1999,1,9,16,30,4.6000000000000005,32,150,45,0.16,1016,16.5,340,1.1
1999,1,9,17,30,4.3,0,0,0,0.16,1017,15.4,192,1.4000000000000001
1999,1,9,18,30,4.1000000000000005,0,0,0,0.16,1017,14.8,33,1.7000000000000002
1999,1,9,19,30,3.8000000000000003,0,0,0,0.16,1018,14.4,45,2
1999,1,9,20,30,3.4000000000000004,0,0,0,0.16,1018,14,52,2.3000000000000003
1999,1,9,21,30,3,0,0,0,0.16,1018,13.700000000000001,56,2.5
1999,1,9,22,30,2.8000000000000003,0,0,0,0.16,1017,13.600000000000001,57,2.7
1999,1,9,23,30,2.7,0,0,0,0.16,1017,13.600000000000001,57,2.8000000000000003
1999,1,10,0,30,2.7,0,0,0,0.16,1017,13.4,56,2.7
1999,1,10,1,30,2.7,0,0,0,0.16,1016,13.100000000000001,54,2.8000000000000003
1999,1,10,2,30,2.6,0,0,0,0.16,1016,13,52,3
1999,1,10,3,30,2.3000000000000003,0,0,0,0.16,1015,13.100000000000001,50,3.4000000000000004
1999,1,10,4,30,2,0,0,0,0.16,1015,13.200000000000001,50,3.9000000000000004
1999,1,10,5,30,1.8,0,0,0,0.16,1015,13.200000000000001,51,4.3
1999,1,10,6,30,1.8,0,0,0,0.16,1016,13.5,52,4.6000000000000005
1999,1,10,7,30,1.9000000000000001,30,182,45,0.16,1016,14.8,52,5
1999,1,10,8,30,2.2,97,226,155,0.16,1016,17,54,4.7
1999,1,10,9,30,3,114,548,334,0.16,1016,19.5,62,3.8000000000000003
1999,1,10,10,30,3.7,199,366,382,0.16,1016,21.8,82,2.8000000000000003
1999,1,10,11,30,2.1,205,459,460,0.16,1015,23,111,2
1999,1,10,12,30,1.8,161,599,494,0.16,1015,22.900000000000002,144,1.5
1999,1,10,13,30,2.6,227,182,319,0.16,1014,22,176,1.1
1999,1,10,14,30,4.5,144,403,308,0.16,1014,20.6,197,0.9
1999,1,10,15,30,5.7,104,155,145,0.16,1014,19.8,203,0.8
1999,1,10,16,30,4.9,33,119,44,0.15,1014,18.6,121,0.5
1999,1,10,17,30,4.9,0,0,0,0.15,1015,17.900000000000002,44,0.7000000000000001
1999,1,10,18,30,5.5,0,0,0,0.15,1015,17.3,45,0.9
1999,1,10,19,30,5.800000000000001,0,0,0,0.15,1015,17,45,1.1
1999,1,10,20,30,5.6000000000000005,0,0,0,0.15,1015,16.900000000000002,44,1.1
1999,1,10,21,30,5.2,0,0,0,0.15,1015,16.8,43,1.1
1999,1,10,22,30,4.9,0,0,0,0.15,1014,16.6,41,1.1
1999,1,10,23,30,4.6000000000000005,0,0,0,0.15,1014,16.400000000000002,39,1.1
1999,1,11,0,30,4.4,0,0,0,0.15,1014,16.2,38,1.1
1999,1,11,1,30,4.3,0,0,0,0.15,1013,16,37,1
1999,1,11,2,30,4.4,0,0,0,0.15,1013,15.8,39,1
1999,1,11,3,30,4.4,0,0,0,0.15,1013,15.600000000000001,45,0.9
1999,1,11,4,30,4.3,0,0,0,0.15,1013,15.5,58,0.9
1999,1,11,5,30,4.2,0,0,0,0.15,1013,15.3,76,0.9
1999,1,11,6,30,4.1000000000000005,0,0,0,0.15,1014,15.3,93,0.9
1999,1,11,7,30,4.4,30,151,43,0.15,1014,15.9,101,1
1999,1,11,8,30,5.2,60,654,230,0.15,1014,17.2,106,1.2000000000000002
1999,1,11,9,30,5.1000000000000005,78,790,395,0.15,1014,18.5,135,1.2000000000000002
1999,1,11,10,30,4.9,76,893,525,0.15,1014,19.6,186,1.3
1999,1,11,11,30,5.2,80,917,591,0.15,1013,20.1,216,1.9000000000000001
1999,1,11,12,30,5.9,82,914,592,0.15,1013,20.1,223,2.4000000000000004
1999,1,11,13,30,6.6000000000000005,77,894,531,0.15,1012,19.700000000000003,225,2.7
1999,1,11,14,30,7.2,70,833,410,0.15,1012,19,226,2.7
1999,1,11,15,30,8,56,706,245,0.15,1012,18.400000000000002,226,2.6
1999,1,11,16,30,9.200000000000001,30,406,68,0.15,1012,15,241,1.8
1999,1,11,17,30,9.8,0,0,0,0.15,1012,13.700000000000001,261,1.5
1999,1,11,18,30,10.5,0,0,0,0.15,1013,13.5,297,1.1
1999,1,11,19,30,10.700000000000001,0,0,0,0.15,1013,13.600000000000001,200,0.8
1999,1,11,20,30,10.8,0,0,0,0.15,1013,13.5,93,0.8
1999,1,11,21,30,10.9,0,0,0,0.15,1013,13.200000000000001,116,0.9
1999,1,11,22,30,11,0,0,0,0.15,1013,12.9,129,1.1
1999,1,11,23,30,11.100000000000001,0,0,0,0.15,1012,12.700000000000001,137,1.1
1999,1,12,0,30,11.100000000000001,0,0,0,0.15,1012,12.4,143,1.1
1999,1,12,1,30,11.100000000000001,0,0,0,0.15,1012,12.100000000000001,149,1
1999,1,12,2,30,11.100000000000001,0,0,0,0.15,1012,12,147,0.9
1999,1,12,3,30,10.9,0,0,0,0.15,1012,11.8,128,0.9
1999,1,12,4,30,10.5,0,0,0,0.15,1012,11.5,111,1.1
1999,1,12,5,30,10.200000000000001,0,0,0,0.15,1013,11.100000000000001,103,1.2000000000000002
1999,1,12,6,30,9.9,0,0,0,0.15,1013,11.100000000000001,91,1.3
1999,1,12,7,30,9.700000000000001,33,234,53,0.15,1014,11.9,78,1.7000000000000002
1999,1,12,8,30,9.3,85,0,85,0.15,1014,13.5,66,1.8
1999,1,12,9,30,7.7,91,738,388,0.15,1014,15.200000000000001,40,1.5
1999,1,12,10,30,6,99,816,511,0.15,1014,16.7,15,1.2000000000000002
1999,1,12,11,30,5,98,860,579,0.15,1013,17.900000000000002,184,0.9
1999,1,12,12,30,4.1000000000000005,93,877,584,0.15,1012,18.6,335,0.7000000000000001
1999,1,12,13,30,3.8000000000000003,86,859,525,0.15,1012,18.7,282,1
1999,1,12,14,30,4,77,800,406,0.15,1012,18.1,249,1.7000000000000002
1999,1,12,15,30,4.9,62,666,243,0.15,1012,17.6,243,2
1999,1,12,16,30,6.6000000000000005,32,357,68,0.15,1013,14.600000000000001,248,2
1999,1,12,17,30,7.1000000000000005,0,0,0,0.15,1014,13.4,261,1.6
1999,1,12,18,30,7.300000000000001,0,0,0,0.15,1014,12.8,277,1.1
1999,1,12,19,30,7.2,0,0,0,0.15,1015,12.600000000000001,260,0.7000000000000001
1999,1,12,20,30,7,0,0,0,0.15,1015,12.600000000000001,220,0.5
1999,1,12,21,30,6.800000000000001,0,0,0,0.15,1015,12.4,203,0.4
1999,1,12,22,30,6.6000000000000005,0,0,0,0.15,1015,12.3,167,0.4
1999,1,12,23,30,6.5,0,0,0,0.15,1015,12.100000000000001,111,0.6000000000000001
1999,1,13,0,30,6.4,0,0,0,0.15,1015,11.8,79,0.8
1999,1,13,1,30,6.2,0,0,0,0.15,1015,11.600000000000001,58,0.9
1999,1,13,2,30,5.9,0,0,0,0.15,1015,11.4,33,1
1999,1,13,3,30,5.4,0,0,0,0.15,1015,11.100000000000001,16,1.1
1999,1,13,4,30,4.9,0,0,0,0.15,1015,10.8,16,1.3
1999,1,13,5,30,4.4,0,0,0,0.15,1015,10.700000000000001,24,1.4000000000000001
1999,1,13,6,30,4,0,0,0,0.15,1015,10.9,30,1.4000000000000001
1999,1,13,7,30,3.8000000000000003,30,313,57,0.15,1015,12.4,34,1.8
1999,1,13,8,30,3.4000000000000004,63,647,232,0.15,1016,14.8,43,1.6
1999,1,13,9,30,3.9000000000000004,80,790,399,0.15,1016,16.8,96,0.8
1999,1,13,10,30,4.800000000000001,89,857,523,0.15,1016,18.3,190,0.9
1999,1,13,11,30,4.7,94,883,589,0.15,1016,19.200000000000003,237,1.4000000000000001
1999,1,13,12,30,4.6000000000000005,212,448,464,0.15,1015,19.6,231,1.6
1999,1,13,13,30,4.7,93,852,530,0.15,1015,19.6,229,1.6
1999,1,13,14,30,4.9,83,787,409,0.15,1015,19.200000000000003,238,1.7000000000000002
1999,1,13,15,30,5.5,66,652,245,0.15,1015,18.8,244,1.8
1999,1,13,16,30,7.1000000000000005,35,325,68,0.15,1016,15.3,280,1.8
1999,1,13,17,30,7,0,0,0,0.15,1016,13.9,317,1.6
1999,1,13,18,30,6.7,0,0,0,0.15,1017,13.4,174,1.6
1999,1,13,19,30,6.1000000000000005,0,0,0,0.15,1017,13.3,21,1.7000000000000002
1999,1,13,20,30,5.5,0,0,0,0.15,1018,13.200000000000001,33,1.9000000000000001
1999,1,13,21,30,4.9,0,0,0,0.15,1018,13.200000000000001,37,2.4000000000000004
1999,1,13,22,30,4,0,0,0,0.15,1018,13.200000000000001,42,2.8000000000000003
1999,1,13,23,30,3.2,0,0,0,0.15,1018,13.200000000000001,48,3.1
1999,1,14,0,30,2.6,0,0,0,0.15,1018,13.100000000000001,50,3.2
1999,1,14,1,30,2.4000000000000004,0,0,0,0.15,1018,13,46,3.2
1999,1,14,2,30,2.4000000000000004,0,0,0,0.15,1018,13.100000000000001,41,3.3000000000000003
1999,1,14,3,30,2.5,0,0,0,0.15,1018,13.3,40,3.7
1999,1,14,4,30,2.3000000000000003,0,0,0,0.15,1018,13.5,39,4.3
1999,1,14,5,30,2,0,0,0,0.15,1018,13.5,40,4.9
1999,1,14,6,30,1.8,0,0,0,0.15,1019,13.700000000000001,40,5.5
1999,1,14,7,30,1.8,26,447,65,0.15,1019,14.9,41,6.1000000000000005
1999,1,14,8,30,2.2,50,754,248,0.15,1020,17.1,43,5.800000000000001
1999,1,14,9,30,3.2,62,878,418,0.15,1019,19.6,48,4.9
1999,1,14,10,30,3.4000000000000004,68,937,545,0.15,1019,21.8,51,3.7
1999,1,14,11,30,2.1,124,724,532,0.15,1018,23.700000000000003,43,2.5
1999,1,14,12,30,-0.2,156,625,510,0.15,1017,24.6,21,1.7000000000000002
