Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,206279,-,-,-,34.69,-118.14,-8,716,-8,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.4
Year,Month,Day,Hour,Minute,Dew Point,DHI,DNI,GHI,Surface Albedo,Pressure,Temperature,Wind Direction,Wind Speed
1999,1,1,0,30,-3.5,0,0,0,0.18,948,5.7,40,3.1
1999,1,1,1,30,-4.1000000000000005,0,0,0,0.18,948,5.5,38,3
1999,1,1,2,30,-4.4,0,0,0,0.18,949,5.1000000000000005,36,3.1
1999,1,1,3,30,-4.800000000000001,0,0,0,0.18,950,4.6000000000000005,37,3.5
1999,1,1,4,30,-5.4,0,0,0,0.18,950,4.2,40,3.8000000000000003
1999,1,1,5,30,-6,0,0,0,0.18,951,4,43,4.1000000000000005
1999,1,1,6,30,-6.5,0,0,0,0.18,952,4.4,45,4.4
1999,1,1,7,30,-6.6000000000000005,29,47,33,0.18,952,6.6000000000000005,45,4.800000000000001
1999,1,1,8,30,-6.2,42,796,241,0.18,953,9.9,46,5.300000000000001
1999,1,1,9,30,-6.2,52,910,403,0.18,953,13,49,5.6000000000000005
1999,1,1,10,30,-6.800000000000001,58,961,521,0.18,952,15.5,50,5.4
1999,1,1,11,30,-7.2,59,984,580,0.18,952,17.400000000000002,50,4.9
1999,1,1,12,30,-7.9,59,983,576,0.18,951,18.5,51,4.3
1999,1,1,13,30,-8.5,57,956,509,0.18,951,18.8,51,3.7
1999,1,1,14,30,-9,51,898,384,0.18,951,17.900000000000002,49,2.8000000000000003
1999,1,1,15,30,-5.5,41,770,218,0.18,951,17,48,2.1
1999,1,1,16,30,-3.8000000000000003,19,429,44,0.18,951,10.700000000000001,40,1.4000000000000001
1999,1,1,17,30,-5.6000000000000005,0,0,0,0.18,951,8.9,40,1.5
1999,1,1,18,30,-6.5,0,0,0,0.18,952,8,40,1.6
1999,1,1,19,30,-7.5,0,0,0,0.18,952,7.5,39,1.7000000000000002
1999,1,1,20,30,-8.5,0,0,0,0.18,952,7,38,1.9000000000000001
1999,1,1,21,30,-9.3,0,0,0,0.18,952,6.6000000000000005,37,2
1999,1,1,22,30,-9.9,0,0,0,0.18,952,6.2,36,2
1999,1,1,23,30,-10.5,0,0,0,0.18,952,5.9,36,2
1999,1,2,0,30,-11,0,0,0,0.18,952,5.6000000000000005,38,2.1
1999,1,2,1,30,-11.200000000000001,0,0,0,0.18,952,5.300000000000001,42,2.2
1999,1,2,2,30,-11.3,0,0,0,0.18,952,5,44,2.4000000000000004
1999,1,2,3,30,-11.4,0,0,0,0.18,951,4.9,46,2.7
1999,1,2,4,30,-11.5,0,0,0,0.18,951,4.9,48,3
1999,1,2,5,30,-11.5,0,0,0,0.18,952,4.9,48,3.5
1999,1,2,6,30,-11.600000000000001,0,0,0,0.18,952,5.4,49,4
1999,1,2,7,30,-11.4,29,52,33,0.18,952,7.7,49,4.6000000000000005
1999,1,2,8,30,-11.3,41,818,245,0.18,952,11,49,5.2
1999,1,2,9,30,-11.5,50,932,410,0.18,953,14.200000000000001,51,5.5
1999,1,2,10,30,-12.4,54,984,530,0.18,952,16.900000000000002,53,5.5
1999,1,2,11,30,-13.700000000000001,58,1004,591,0.18,951,18.7,55,5.2
1999,1,2,12,30,-14.9,58,1003,587,0.18,950,19.6,58,4.7
1999,1,2,13,30,-15.700000000000001,55,969,515,0.18,950,19.8,61,4.1000000000000005
1999,1,2,14,30,-15.8,51,910,390,0.18,950,18.7,61,2.9000000000000004
1999,1,2,15,30,-8.9,41,785,223,0.18,949,17.6,59,2.1
1999,1,2,16,30,-7.2,22,52,26,0.18,950,11.3,56,1.5
1999,1,2,17,30,-8.6,0,0,0,0.18,950,9.600000000000001,56,1.6
1999,1,2,18,30,-9.200000000000001,0,0,0,0.18,950,8.8,55,1.6
1999,1,2,19,30,-9.8,0,0,0,0.18,950,8.200000000000001,53,1.6
1999,1,2,20,30,-10.100000000000001,0,0,0,0.18,950,7.6000000000000005,49,1.7000000000000002
1999,1,2,21,30,-10.100000000000001,0,0,0,0.18,951,7.300000000000001,46,1.8
1999,1,2,22,30,-9.9,0,0,0,0.18,951,7.1000000000000005,46,2
1999,1,2,23,30,-9.8,0,0,0,0.18,951,6.9,47,2.3000000000000003
1999,1,3,0,30,-9.8,0,0,0,0.18,951,7,48,3
1999,1,3,1,30,-9.200000000000001,0,0,0,0.18,952,7.2,47,3.7
1999,1,3,2,30,-8.4,0,0,0,0.18,952,7,46,4.3
1999,1,3,3,30,-7.800000000000001,0,0,0,0.18,952,6.7,46,4.6000000000000005
1999,1,3,4,30,-7.5,0,0,0,0.18,953,6.2,46,4.800000000000001
1999,1,3,5,30,-7.4,0,0,0,0.18,953,5.7,47,4.9
1999,1,3,6,30,-7.4,0,0,0,0.18,954,5.6000000000000005,48,4.9
1999,1,3,7,30,-7.4,28,24,30,0.18,954,7.300000000000001,48,5
1999,1,3,8,30,-7.2,99,102,125,0.18,955,10.4,49,5.5
1999,1,3,9,30,-7.300000000000001,152,312,273,0.18,955,13.5,52,6.2
1999,1,3,10,30,-8,60,987,537,0.18,955,15.600000000000001,55,6.300000000000001
1999,1,3,11,30,-8.9,63,1008,599,0.18,955,16.8,55,5.800000000000001
1999,1,3,12,30,-9.700000000000001,63,1006,596,0.18,954,17.5,55,5.1000000000000005
1999,1,3,13,30,-10.200000000000001,60,983,528,0.18,954,17.6,56,4.5
1999,1,3,14,30,-10.5,55,922,402,0.18,954,16.6,56,3.5
1999,1,3,15,30,-8.3,45,792,231,0.18,954,15.8,55,2.6
1999,1,3,16,30,-5.4,21,446,50,0.18,955,9.5,54,1.4000000000000001
1999,1,3,17,30,-6.5,0,0,0,0.18,955,8,55,1.5
1999,1,3,18,30,-7.1000000000000005,0,0,0,0.18,955,7.4,55,1.5
1999,1,3,19,30,-7.800000000000001,0,0,0,0.18,956,6.9,52,1.6
1999,1,3,20,30,-8.4,0,0,0,0.18,956,6.5,48,1.7000000000000002
1999,1,3,21,30,-8.9,0,0,0,0.18,956,6.1000000000000005,44,1.7000000000000002
1999,1,3,22,30,-9.3,0,0,0,0.18,956,5.7,42,1.8
1999,1,3,23,30,-9.600000000000001,0,0,0,0.18,956,5.300000000000001,40,1.8
1999,1,4,0,30,-9.9,0,0,0,0.18,956,4.800000000000001,40,1.9000000000000001
1999,1,4,1,30,-10.100000000000001,0,0,0,0.18,956,4.2,41,2
1999,1,4,2,30,-10.4,0,0,0,0.18,956,3.8000000000000003,43,2.3000000000000003
1999,1,4,3,30,-10.8,0,0,0,0.18,956,3.5,45,2.6
1999,1,4,4,30,-11.3,0,0,0,0.18,956,3.4000000000000004,47,3
1999,1,4,5,30,-11.8,0,0,0,0.18,957,3.3000000000000003,48,3.3000000000000003
1999,1,4,6,30,-12.200000000000001,0,0,0,0.18,957,3.8000000000000003,49,3.7
1999,1,4,7,30,-12.100000000000001,28,37,31,0.18,958,6,49,4.3
1999,1,4,8,30,-12,91,270,159,0.18,958,9.4,49,4.7
1999,1,4,9,30,-11.600000000000001,58,926,417,0.18,958,12.8,52,4.9
1999,1,4,10,30,-11.4,64,980,539,0.18,958,15.600000000000001,56,4.800000000000001
1999,1,4,11,30,-11.5,67,1003,602,0.18,957,17.400000000000002,56,4.2
1999,1,4,12,30,-11.8,67,1000,599,0.18,956,18.400000000000002,55,3.7
1999,1,4,13,30,-12,63,977,531,0.18,956,18.5,54,3.3000000000000003
1999,1,4,14,30,-11.9,57,919,404,0.18,956,17.2,51,2.3000000000000003
1999,1,4,15,30,-5.7,45,794,234,0.18,956,16,48,1.6
1999,1,4,16,30,-5.7,22,431,51,0.18,956,11.4,38,1.4000000000000001
1999,1,4,17,30,-6.9,0,0,0,0.18,956,10,40,1.5
1999,1,4,18,30,-7.4,0,0,0,0.18,957,9.200000000000001,44,1.5
1999,1,4,19,30,-8,0,0,0,0.18,957,8.8,46,1.5
1999,1,4,20,30,-8.3,0,0,0,0.18,957,8.6,45,1.5
1999,1,4,21,30,-8.700000000000001,0,0,0,0.18,957,8.3,45,1.5
1999,1,4,22,30,-9.200000000000001,0,0,0,0.18,957,8,43,1.5
1999,1,4,23,30,-9.5,0,0,0,0.18,957,7.7,41,1.6
1999,1,5,0,30,-9.700000000000001,0,0,0,0.18,956,7.300000000000001,39,1.6
1999,1,5,1,30,-9.700000000000001,0,0,0,0.18,956,7,36,1.6
1999,1,5,2,30,-9.600000000000001,0,0,0,0.18,956,6.800000000000001,35,1.6
1999,1,5,3,30,-9.4,0,0,0,0.18,956,6.7,36,1.6
1999,1,5,4,30,-9.600000000000001,0,0,0,0.18,955,6.4,38,1.7000000000000002
1999,1,5,5,30,-10.100000000000001,0,0,0,0.18,956,5.800000000000001,41,1.7000000000000002
1999,1,5,6,30,-10.700000000000001,0,0,0,0.18,956,5.9,45,1.8
1999,1,5,7,30,-10,28,39,32,0.18,956,8.5,48,2.4000000000000004
1999,1,5,8,30,-9,48,780,243,0.18,956,12.3,48,3.2
1999,1,5,9,30,-11.3,58,903,409,0.18,956,15.600000000000001,49,3.7
1999,1,5,10,30,-11.8,63,962,530,0.18,956,18.400000000000002,53,3.8000000000000003
1999,1,5,11,30,-12.700000000000001,66,984,592,0.18,955,20.200000000000003,56,3.6
1999,1,5,12,30,-13,65,984,590,0.18,954,21.1,59,3.1
1999,1,5,13,30,-13.3,167,486,400,0.18,954,21.3,61,2.7
1999,1,5,14,30,-13.3,133,415,291,0.18,954,19.900000000000002,59,1.8
1999,1,5,15,30,-5.7,94,142,128,0.18,954,18.6,56,1.2000000000000002
1999,1,5,16,30,-6.1000000000000005,25,140,34,0.18,954,13.3,45,1.3
1999,1,5,17,30,-7.6000000000000005,0,0,0,0.18,954,11.5,46,1.5
1999,1,5,18,30,-8.3,0,0,0,0.18,954,10.5,46,1.6
1999,1,5,19,30,-9.200000000000001,0,0,0,0.18,954,10,46,1.6
1999,1,5,20,30,-9.8,0,0,0,0.18,954,9.8,45,1.7000000000000002
1999,1,5,21,30,-10.100000000000001,0,0,0,0.18,954,9.8,45,1.7000000000000002
1999,1,5,22,30,-10.3,0,0,0,0.18,954,9.600000000000001,45,1.7000000000000002
1999,1,5,23,30,-10,0,0,0,0.18,954,9.5,46,1.6
1999,1,6,0,30,-9.700000000000001,0,0,0,0.18,954,9.4,46,1.6
1999,1,6,1,30,-9.5,0,0,0,0.18,954,9.3,44,1.6
1999,1,6,2,30,-9.4,0,0,0,0.18,953,9.1,43,1.6
1999,1,6,3,30,-9.4,0,0,0,0.18,953,8.9,42,1.6
1999,1,6,4,30,-9.5,0,0,0,0.18,953,8.700000000000001,44,1.6
1999,1,6,5,30,-9.700000000000001,0,0,0,0.18,953,8.4,47,1.6
1999,1,6,6,30,-9.9,0,0,0,0.18,953,8.5,52,1.6
1999,1,6,7,30,-9.1,29,51,33,0.18,953,10.8,58,1.7000000000000002
1999,1,6,8,30,-7.300000000000001,47,804,248,0.18,954,14.600000000000001,64,2.2
1999,1,6,9,30,-10.9,59,907,412,0.18,954,17.900000000000002,79,2
1999,1,6,10,30,-10.4,103,723,455,0.18,953,21,134,1.5
1999,1,6,11,30,-10.600000000000001,202,453,446,0.18,952,23.3,194,1.8
1999,1,6,12,30,-10.9,110,756,515,0.18,951,24.3,217,2.2
1999,1,6,13,30,-10.8,65,951,525,0.18,951,24.1,226,2.4000000000000004
1999,1,6,14,30,-9.9,60,890,400,0.18,951,22.3,228,1.9000000000000001
1999,1,6,15,30,-2.3000000000000003,48,759,232,0.18,951,20.8,229,1.4000000000000001
1999,1,6,16,30,-2.8000000000000003,23,425,54,0.18,951,14.8,230,1.4000000000000001
1999,1,6,17,30,-4.5,0,0,0,0.18,951,13.5,230,1.3
1999,1,6,18,30,-5.1000000000000005,0,0,0,0.18,951,13,234,1.2000000000000002
1999,1,6,19,30,-5.7,0,0,0,0.18,951,12.600000000000001,244,0.9
1999,1,6,20,30,-6,0,0,0,0.18,951,12.200000000000001,261,0.6000000000000001
1999,1,6,21,30,-5.800000000000001,0,0,0,0.18,951,11.8,282,0.5
1999,1,6,22,30,-5.800000000000001,0,0,0,0.18,951,11.3,298,0.5
1999,1,6,23,30,-5.5,0,0,0,0.18,950,10.8,304,0.5
1999,1,7,0,30,-5.2,0,0,0,0.18,950,10.200000000000001,297,0.6000000000000001
1999,1,7,1,30,-5,0,0,0,0.18,950,9.200000000000001,290,0.7000000000000001
1999,1,7,2,30,-5,0,0,0,0.18,950,8.1,293,0.7000000000000001
1999,1,7,3,30,-4.9,0,0,0,0.18,949,7.1000000000000005,297,0.8
1999,1,7,4,30,-4.7,0,0,0,0.18,949,6.300000000000001,305,0.8
1999,1,7,5,30,-4.6000000000000005,0,0,0,0.18,949,5.800000000000001,319,0.8
1999,1,7,6,30,-4.6000000000000005,0,0,0,0.18,949,6,329,0.7000000000000001
1999,1,7,7,30,-4.3,29,64,34,0.18,949,8.5,323,0.8
1999,1,7,8,30,-3.8000000000000003,46,780,241,0.18,950,12,294,1.1
1999,1,7,9,30,-4.3,57,889,404,0.18,950,15.100000000000001,272,1.6
1999,1,7,10,30,-5.2,65,942,524,0.18,950,18.1,272,2.4000000000000004
1999,1,7,11,30,-7.300000000000001,68,963,587,0.18,949,20.200000000000003,273,2.8000000000000003
1999,1,7,12,30,-8,68,963,586,0.18,948,21.1,270,3
1999,1,7,13,30,-8,65,933,518,0.18,948,21.1,266,3.1
1999,1,7,14,30,-7.7,60,871,395,0.18,948,19.8,259,2.7
1999,1,7,15,30,-4.800000000000001,48,738,229,0.18,948,18.7,256,2.3000000000000003
1999,1,7,16,30,-2.1,23,409,54,0.18,948,11.700000000000001,255,1.3
1999,1,7,17,30,-2.1,0,0,0,0.18,948,9.4,260,1.3
1999,1,7,18,30,-1.6,0,0,0,0.18,949,8.4,270,1.2000000000000002
1999,1,7,19,30,-1.6,0,0,0,0.18,949,7.5,290,1
1999,1,7,20,30,-1.9000000000000001,0,0,0,0.18,949,6.800000000000001,311,0.9
1999,1,7,21,30,-2.5,0,0,0,0.18,948,6.1000000000000005,323,0.9
1999,1,7,22,30,-2.9000000000000004,0,0,0,0.18,948,5.5,331,1
1999,1,7,23,30,-3.1,0,0,0,0.18,948,4.800000000000001,339,1.2000000000000002
1999,1,8,0,30,-3.3000000000000003,0,0,0,0.18,948,4,346,1.3
1999,1,8,1,30,-3.4000000000000004,0,0,0,0.18,948,3.2,354,1.5
1999,1,8,2,30,-3.7,0,0,0,0.18,949,2.6,185,1.7000000000000002
1999,1,8,3,30,-4.2,0,0,0,0.18,949,2.6,20,1.9000000000000001
1999,1,8,4,30,-5.1000000000000005,0,0,0,0.18,950,2.8000000000000003,33,2.3000000000000003
1999,1,8,5,30,-6.1000000000000005,0,0,0,0.18,950,3.1,42,2.6
1999,1,8,6,30,-6.4,0,0,0,0.18,951,4.3,45,3.4000000000000004
1999,1,8,7,30,-5.9,29,80,35,0.18,952,7.300000000000001,43,5
1999,1,8,8,30,-5.2,44,811,247,0.18,953,10.600000000000001,43,6.800000000000001
1999,1,8,9,30,-5.5,54,926,416,0.18,953,13.200000000000001,46,8
1999,1,8,10,30,-6.800000000000001,63,973,539,0.18,954,14.9,46,8.1
1999,1,8,11,30,-8.1,66,993,603,0.18,953,15.8,45,7.7
1999,1,8,12,30,-9.1,67,991,602,0.18,953,16.2,44,7.2
1999,1,8,13,30,-9.700000000000001,67,961,536,0.18,953,16.2,43,6.800000000000001
1999,1,8,14,30,-10,59,907,411,0.18,953,15.600000000000001,43,6.2
1999,1,8,15,30,-10.100000000000001,47,788,242,0.18,953,15.200000000000001,43,5.800000000000001
1999,1,8,16,30,-9.5,25,457,60,0.18,954,10.8,44,3.9000000000000004
1999,1,8,17,30,-9.5,0,0,0,0.18,954,9.1,44,3.9000000000000004
1999,1,8,18,30,-10,0,0,0,0.18,955,8.4,42,4
1999,1,8,19,30,-10.200000000000001,0,0,0,0.18,955,7.800000000000001,40,4
1999,1,8,20,30,-10.5,0,0,0,0.18,955,7.5,41,4.2
1999,1,8,21,30,-10.600000000000001,0,0,0,0.18,955,7.300000000000001,42,4.1000000000000005
1999,1,8,22,30,-10.600000000000001,0,0,0,0.18,955,7,43,4
1999,1,8,23,30,-10.700000000000001,0,0,0,0.18,955,6.7,43,3.8000000000000003
1999,1,9,0,30,-10.600000000000001,0,0,0,0.18,955,6.5,43,3.7
1999,1,9,1,30,-10.4,0,0,0,0.18,955,6.300000000000001,43,3.8000000000000003
1999,1,9,2,30,-10.100000000000001,0,0,0,0.18,955,6.2,43,4
1999,1,9,3,30,-10,0,0,0,0.18,955,6,43,4.2
1999,1,9,4,30,-10,0,0,0,0.18,955,5.800000000000001,43,4.3
1999,1,9,5,30,-10,0,0,0,0.18,956,5.5,45,4.4
1999,1,9,6,30,-9.8,0,0,0,0.18,956,5.800000000000001,46,4.5
1999,1,9,7,30,-9.600000000000001,29,58,33,0.18,956,8,45,4.800000000000001
1999,1,9,8,30,-9.4,43,805,245,0.18,957,11.4,45,5.4
1999,1,9,9,30,-9.3,53,918,413,0.18,957,14.600000000000001,48,5.5
1999,1,9,10,30,-9.5,58,965,531,0.18,957,17.1,50,5.1000000000000005
1999,1,9,11,30,-9.600000000000001,62,985,596,0.18,956,18.7,51,4.5
1999,1,9,12,30,-9.5,63,984,596,0.18,955,19.5,51,4.1000000000000005
1999,1,9,13,30,-9.3,61,960,531,0.18,954,19.5,50,3.9000000000000004
1999,1,9,14,30,-8.9,56,903,409,0.18,954,18.5,50,3.4000000000000004
1999,1,9,15,30,-6.5,46,781,241,0.18,954,17.6,49,2.9000000000000004
1999,1,9,16,30,-4.2,28,127,38,0.18,954,11.3,48,1.6
1999,1,9,17,30,-5,0,0,0,0.18,954,9.600000000000001,52,1.7000000000000002
1999,1,9,18,30,-5.6000000000000005,0,0,0,0.18,954,8.9,53,1.8
1999,1,9,19,30,-5.9,0,0,0,0.18,954,8.3,52,1.8
1999,1,9,20,30,-6.1000000000000005,0,0,0,0.18,954,7.800000000000001,50,1.8
1999,1,9,21,30,-6.300000000000001,0,0,0,0.18,954,7.4,47,1.7000000000000002
1999,1,9,22,30,-6.4,0,0,0,0.18,954,7.1000000000000005,44,1.8
1999,1,9,23,30,-6.4,0,0,0,0.18,954,6.800000000000001,42,1.8
1999,1,10,0,30,-6.4,0,0,0,0.18,954,6.5,41,1.9000000000000001
1999,1,10,1,30,-6.4,0,0,0,0.18,953,6.2,42,1.9000000000000001
1999,1,10,2,30,-6.300000000000001,0,0,0,0.18,953,6,43,2
1999,1,10,3,30,-6.2,0,0,0,0.18,953,5.800000000000001,44,2.2
1999,1,10,4,30,-6.1000000000000005,0,0,0,0.18,953,5.9,46,2.4000000000000004
1999,1,10,5,30,-6,0,0,0,0.18,953,6,48,2.7
1999,1,10,6,30,-5.9,0,0,0,0.18,953,6.7,49,3
1999,1,10,7,30,-5.6000000000000005,29,46,33,0.18,953,9.4,50,3.8000000000000003
1999,1,10,8,30,-5.2,101,113,129,0.18,953,13.100000000000001,51,4.3
1999,1,10,9,30,-5,57,904,412,0.18,954,16.5,54,4.6000000000000005
1999,1,10,10,30,-4.9,162,525,421,0.18,953,19.3,61,4.6000000000000005
1999,1,10,11,30,-5.300000000000001,214,421,443,0.18,953,21.1,67,4.1000000000000005
1999,1,10,12,30,-5.7,168,576,481,0.18,952,22,74,3.4000000000000004
1999,1,10,13,30,-5.9,190,406,391,0.18,952,21.900000000000002,77,2.8000000000000003
1999,1,10,14,30,-5.2,163,254,263,0.18,951,20.200000000000003,77,1.7000000000000002
1999,1,10,15,30,-0.9,98,198,148,0.18,951,18.8,78,1
1999,1,10,16,30,-1.5,29,65,35,0.18,951,14.700000000000001,65,1
1999,1,10,17,30,-2.4000000000000004,0,0,0,0.18,952,13.8,60,1.2000000000000002
1999,1,10,18,30,-2.6,0,0,0,0.18,952,13.200000000000001,57,1.2000000000000002
1999,1,10,19,30,-2.9000000000000004,0,0,0,0.18,952,12.5,54,1.3
1999,1,10,20,30,-3.2,0,0,0,0.18,952,12,52,1.3
1999,1,10,21,30,-3.4000000000000004,0,0,0,0.18,951,11.600000000000001,51,1.2000000000000002
1999,1,10,22,30,-3.5,0,0,0,0.18,951,11.200000000000001,50,1.2000000000000002
1999,1,10,23,30,-3.7,0,0,0,0.18,951,10.9,49,1.2000000000000002
1999,1,11,0,30,-3.9000000000000004,0,0,0,0.18,950,10.5,46,1.2000000000000002
1999,1,11,1,30,-4.2,0,0,0,0.18,950,10.200000000000001,44,1.2000000000000002
1999,1,11,2,30,-4.5,0,0,0,0.18,950,10.100000000000001,43,1.2000000000000002
1999,1,11,3,30,-4.7,0,0,0,0.18,949,10.100000000000001,45,1.2000000000000002
1999,1,11,4,30,-4.800000000000001,0,0,0,0.18,949,10.200000000000001,48,1.1
1999,1,11,5,30,-4.9,0,0,0,0.18,949,10.3,52,1.1
1999,1,11,6,30,-5,0,0,0,0.18,950,10.5,57,1
1999,1,11,7,30,-4.7,29,109,38,0.18,950,11.5,66,0.8
1999,1,11,8,30,-3.2,91,6,92,0.18,950,13.3,73,0.8
1999,1,11,9,30,-4.4,159,41,175,0.18,950,15.4,128,0.6000000000000001
1999,1,11,10,30,-6,68,920,522,0.18,950,17.400000000000002,217,0.7000000000000001
1999,1,11,11,30,-6.4,79,882,560,0.18,949,19.5,257,1.7000000000000002
1999,1,11,12,30,-6.300000000000001,127,714,517,0.18,948,20.700000000000003,257,2.2
1999,1,11,13,30,-6,68,924,526,0.18,948,20.900000000000002,249,2.4000000000000004
1999,1,11,14,30,-5.1000000000000005,57,834,388,0.18,948,19.900000000000002,237,2.1
1999,1,11,15,30,-1.6,96,248,160,0.18,947,19,230,1.7000000000000002
1999,1,11,16,30,-0.4,30,162,44,0.18,947,13.100000000000001,226,1.4000000000000001
1999,1,11,17,30,-0.4,0,0,0,0.18,948,11.3,227,1.3
1999,1,11,18,30,0.6000000000000001,0,0,0,0.18,948,10.9,229,1.3
1999,1,11,19,30,1.4000000000000001,0,0,0,0.18,948,10.700000000000001,231,1.1
1999,1,11,20,30,1.6,0,0,0,0.18,948,10.5,235,0.9
1999,1,11,21,30,1.6,0,0,0,0.18,948,10,239,0.9
1999,1,11,22,30,1.5,0,0,0,0.18,948,9.1,242,0.9
1999,1,11,23,30,1.4000000000000001,0,0,0,0.18,947,8,246,0.9
1999,1,12,0,30,1.5,0,0,0,0.18,947,7.1000000000000005,246,0.9
1999,1,12,1,30,1.7000000000000002,0,0,0,0.18,947,6.300000000000001,250,1
1999,1,12,2,30,1.9000000000000001,0,0,0,0.18,947,5.5,262,1
1999,1,12,3,30,1.9000000000000001,0,0,0,0.18,947,5,279,0.9
1999,1,12,4,30,1.7000000000000002,0,0,0,0.18,947,4.4,295,0.8
1999,1,12,5,30,1.3,0,0,0,0.18,948,3.8000000000000003,313,0.8
1999,1,12,6,30,0.7000000000000001,0,0,0,0.18,948,3.9000000000000004,329,0.8
1999,1,12,7,30,0,26,420,61,0.18,949,6,343,1.3
1999,1,12,8,30,-0.7000000000000001,50,752,241,0.18,949,9.1,352,1.8
1999,1,12,9,30,-2.6,60,882,409,0.18,949,12.5,178,2.3000000000000003
1999,1,12,10,30,-5.9,66,942,533,0.18,949,15.5,15,2.9000000000000004
1999,1,12,11,30,-8.3,68,968,599,0.18,949,17.3,37,3.1
1999,1,12,12,30,-9.200000000000001,68,970,600,0.18,948,18.1,49,2.9000000000000004
1999,1,12,13,30,-9.1,64,943,534,0.18,948,18.3,55,2.4000000000000004
1999,1,12,14,30,-8.8,57,890,413,0.18,948,17.7,56,1.7000000000000002
1999,1,12,15,30,-7.1000000000000005,46,773,247,0.18,948,17.1,55,1.3
1999,1,12,16,30,-3.9000000000000004,26,464,67,0.18,949,12.700000000000001,48,0.6000000000000001
1999,1,12,17,30,-4.800000000000001,0,0,0,0.18,949,11.200000000000001,49,0.8
1999,1,12,18,30,-4.800000000000001,0,0,0,0.18,950,10.100000000000001,52,1
1999,1,12,19,30,-5,0,0,0,0.18,950,9.3,52,1.1
1999,1,12,20,30,-5.2,0,0,0,0.18,950,8.9,48,1
1999,1,12,21,30,-5.4,0,0,0,0.18,950,8.3,42,1
1999,1,12,22,30,-5.5,0,0,0,0.18,950,8,41,1
1999,1,12,23,30,-5.800000000000001,0,0,0,0.18,950,7.9,47,1
1999,1,13,0,30,-6,0,0,0,0.18,950,7.9,51,1
1999,1,13,1,30,-6.2,0,0,0,0.18,950,7.5,41,1
1999,1,13,2,30,-6.4,0,0,0,0.18,950,6.7,23,1.1
1999,1,13,3,30,-6.6000000000000005,0,0,0,0.18,950,5.9,13,1.3
1999,1,13,4,30,-6.6000000000000005,0,0,0,0.18,950,5.4,15,1.3
1999,1,13,5,30,-6.5,0,0,0,0.18,950,5,22,1.3
1999,1,13,6,30,-6.4,0,0,0,0.18,950,5.300000000000001,28,1.3
1999,1,13,7,30,-5.6000000000000005,30,78,36,0.18,951,8,38,1.9000000000000001
1999,1,13,8,30,-5,101,160,142,0.18,951,11.9,51,2.6
1999,1,13,9,30,-5.1000000000000005,59,887,411,0.18,952,15.4,63,2.6
1999,1,13,10,30,-4.9,66,944,535,0.18,952,18.3,66,2.4000000000000004
1999,1,13,11,30,-5.2,69,966,601,0.18,952,19.8,63,2.4000000000000004
1999,1,13,12,30,-5.5,69,966,602,0.18,951,20.5,62,2.6
1999,1,13,13,30,-5.7,67,941,539,0.18,951,20.5,59,2.8000000000000003
1999,1,13,14,30,-5.800000000000001,61,878,414,0.18,951,19.6,54,2.7
1999,1,13,15,30,-5.2,50,757,248,0.18,951,18.900000000000002,51,2.5
1999,1,13,16,30,-2.7,28,439,68,0.18,952,12.600000000000001,42,1.6
1999,1,13,17,30,-3.7,0,0,0,0.18,953,10.3,43,1.8
1999,1,13,18,30,-4.2,0,0,0,0.18,953,9.200000000000001,45,1.9000000000000001
1999,1,13,19,30,-4.800000000000001,0,0,0,0.18,954,8.5,44,2
1999,1,13,20,30,-5.300000000000001,0,0,0,0.18,954,8.1,43,2.1
1999,1,13,21,30,-5.6000000000000005,0,0,0,0.18,955,7.800000000000001,43,2.3000000000000003
1999,1,13,22,30,-5.800000000000001,0,0,0,0.18,955,7.6000000000000005,47,2.4000000000000004
1999,1,13,23,30,-5.9,0,0,0,0.18,955,7.4,51,2.5
1999,1,14,0,30,-6,0,0,0,0.18,955,7,51,2.3000000000000003
1999,1,14,1,30,-5.9,0,0,0,0.18,955,6.7,46,2.2
1999,1,14,2,30,-5.9,0,0,0,0.18,955,6.5,40,2.3000000000000003
1999,1,14,3,30,-5.800000000000001,0,0,0,0.18,955,6.5,37,2.7
1999,1,14,4,30,-5.800000000000001,0,0,0,0.18,955,6.7,37,3.2
1999,1,14,5,30,-5.6000000000000005,0,0,0,0.18,956,6.6000000000000005,40,3.7
1999,1,14,6,30,-5.4,0,0,0,0.18,956,7.2,41,4.2
1999,1,14,7,30,-5,30,82,37,0.18,957,9.4,42,4.7
1999,1,14,8,30,-4.6000000000000005,45,797,250,0.18,957,12.600000000000001,45,5.2
1999,1,14,9,30,-4.4,56,914,420,0.18,957,15.9,48,5.300000000000001
1999,1,14,10,30,-5.1000000000000005,62,969,546,0.18,956,18.5,49,4.9
1999,1,14,11,30,-5.800000000000001,140,675,514,0.18,955,20.1,47,4.2
1999,1,14,12,30,-6.4,192,516,478,0.18,955,21,44,3.5
1999,1,14,13,30,-6.800000000000001,170,517,430,0.18,954,21.200000000000003,39,3.1
1999,1,14,14,30,-7.1000000000000005,61,888,421,0.18,954,20.3,35,2.5
